tweetId,date,username,tweet,label
1374945386733793287,2021-03-25 04:45:00,imnteeevil,ganggu orang WFH aja bajingan !,0
1409154884406939652,2021-06-27 14:21:19,irmaminoris,"Akhirnya ada pengumuman WFH setelah samping kantor positif covid dan meninggal. 

Jadi inget kata-kata BuDir: ""Sudah saatnya kita WFH kembali. Mau nunggu apa? Nunggu ada yg sakit? Nunggu ada yg mati? Jangan sampai itu terjadi""",1
1387457684115390471,2021-04-28 17:24:24,hibyscu,"padahal pas wfh jam kerja makin gila, nonstop senin-minggu weekend disuru lembur gaada enaknya🙂🙏 https://t.co/sPvNuDdwQS",0
1376747308012859393,2021-03-30 04:05:11,saltedcaramell6,@selphieusagi Aku lebih nyaman wfh walaupun skrg full wfo. Kangen wfh walaupun jam 9 malem masih kerja🤣,1
1364770266048471040,2021-02-25 02:52:42,Widyor1st,"Da ah Udh kosong lg kepala, kerja kerja. Untung wfh Hari ini",1
1410159366209040388,2021-06-30 08:52:47,sandiuno,"Selamat sore, sobat parekraf, wonderful people. Salam sehat penuh semangat! 

Bekerja #DiRumahAja atau kebijakan WFH yang kita terapkan di Kemenparekraf bertujuan untuk meminimalisir penyebaran covid-19 yang kian masif. Kesehatan dan keselamatan harus tetap menjadi yang utama. https://t.co/O3gV8gz4I0",1
1376709950076948481,2021-03-30 01:36:44,bellavibiyanisa,alhamdulillah wfh di perpanjang sampe 30 april😽,1
1376690912001028098,2021-03-30 00:21:05,adeagusrayagi,Selamat pagi dan harus tetap semangat... #WFH https://t.co/FsPWNcuV9t,1
1362402433482125318,2021-02-18 14:03:47,UDEANbsl,Relate anjir semenjak wfh di rumah # https://t.co/slSbQNWf9Y,1
1411266536849887236,2021-07-03 10:12:17,snrby_,Wfh tapi gaenakeun tempatnya bikin sakit pinggang ya ternyata😅,0
1370936382839951366,2021-03-14 03:14:39,hikmatnurulF,Kerja wfh ga ada batasan waktu capekkk,0
1410772124730413058,2021-07-02 01:27:40,ciwicantiq,"Enak bgt orang2 wfh. Aku juga wfh sih, work far home.",1
1410666036123213827,2021-07-01 18:26:06,kacangketopraak,Gila seharian wfh. Bener2 dari pagi sampe jam segini mantengin laptop n baru bisa main handphone,0
1411221867872985089,2021-07-03 07:14:47,yha_diks,"@hrdbacot Kantor saya juga full WFH, dikasih vitamin, dikasih alat swab, kalau positif bisa ke puskesmas buat swab lagi lalu direimburse

Yang positif kalau tinggal sama keluarga dibayarin kosan isoman sementara, dikasih clover honey, obat juga

Positif gaji tetep Full 100%",1
1365548382018629636,2021-02-27 06:24:39,yayunkkkk,@faruqmcgrath masih wfh ke?,1
1410538593156698117,2021-07-01 09:59:41,94ifjun,"Kantor2 udh mulai diminta WFH 100%. Aku ? Berdoa aja gak nambah jam kerja, gapapa libur 2 hari seminggu udh alhamdulillah 😌",1
1365104943850422273,2021-02-26 01:02:35,inidilla,"Selama wfh jadi jauuuh lebih produktif, walaupun harus gantian jagain anak, tapi tenaga ga habis di jalan 😂",1
1364943745687248901,2021-02-25 14:22:03,icecupps,Untung sepi karna pada wfh,1
1380161803670466579,2021-04-08 14:13:10,Annisaalr13,"Seharian sibuk wfh, melelahkan juga ya bund :)",0
1369195426964860934,2021-03-09 07:56:42,dumbodums,Wfh alhamdulillah...,1
1375356963886751747,2021-03-26 08:00:27,ubsi_cs10,"perlindungan oleh Tuhan YME.
.
Jaga kesehatan kita, untuk kebagian orang di sekitar.
.
Kuliah...? BSI Aja !!
.
#kuliahbsiaja #bsi #ubsi #universitasbinasranainformatika #universitasbsi #kampus #kuliahonline #online #wfh #workfromhome #newnormal #kerjaonline #kerja #kuliah",1
1365355880984711169,2021-02-26 17:39:43,astyrannosaurrr,"@kenemotoji Minsik wfh(Wamil From Home) keknya, mana main Clubhouse anying 😭 dahla puyeng mending gw hype BigNa dulu 😭✋🏻",0
1409723802276093954,2021-06-29 04:02:00,bangayep,Wfh ada yg ikut nemenin enak kali ya qiqi,1
1409072155904536577,2021-06-27 08:52:35,i_am_satria,"Alhamdulillah lengkap min. Masker N95 dijatah 2x/day, vitamin bagi yg butuh, swab PCR /triwulan, rapid antigen lngsung di kantor klo mau BT keluar kota, konsul dokter langsung, nginep di hotel klo positif (naudzubillah). And kebijakan WFH 100% klo ada kasus dan 50% klo dah reda https://t.co/TOC20rVs4g",1
1409066677799510017,2021-06-27 08:30:49,chawp1tuta,ni kantor beneran gamau wfh apa ya 😢,0
1362804971012427776,2021-02-19 16:43:19,marsmnl,@Akhmadsy_ Iya nih seminggu ini wfh karna nunggu hasil swab wkwk,1
1368022753014546435,2021-03-06 02:16:55,setereikize,"Seminggu wfh jadi ketagihan Ya Allah, jd males kalo suruh balik ke kantor 💔😭😭",1
1362418714906353671,2021-02-18 15:08:28,RoseMiaAP,"Kapan ada lagi jateng Sabtu Minggu dirumah saja den @ganjarpranowo 
Saya seneng.. Soalnya sabtu bisa wfh dan momong.. 😁",1
1408768188561518593,2021-06-26 12:44:44,selebritalk,"Terapkan WFH Kepada Karyawan, Raffi Ahmad Malah Naikkan Gaji 20 Persen https://t.co/fLOdQZIq4j",1
1365192755798896647,2021-02-26 06:51:31,zuhairsohaini,Gilalah kawan aku kena wfh permanently..,0
1369238556846198785,2021-03-09 10:48:05,mrfauzirinaldi,"Langsung ga mood, udah ga dapet wfh lagi😂",0
1410827417397043202,2021-07-02 05:07:22,AbsensiMesin,"Pakai https://t.co/vLl9Yq56l7! WFH lebih efektif, pastinya bisa bikin produktivitas karyawanmu meningkat. Kamu juga bisa pakai GRATIS 1 tahun, bebas tanpa biaya tambahan. Pakai absensi online https://t.co/vLl9Yq56l7, kamu bisa absensi, pantau kinerja karyawan, hingga izin kerja https://t.co/cFEibrR0v6",1
1410804994912051203,2021-07-02 03:38:16,CNNIDdaily,"Sektor non essensial diwajibkan work from home 100 persen sedangkan sektor essensial dan kritikal diatur work from office dengan protokol kesehatan ketat. 
-
VIDEO: Penjelasan WFH dan WFO Selama Penerapan PPKM Darurat
https://t.co/NqpR7jdAI3",1
1364885223406661638,2021-02-25 10:29:30,shibulla,"Mak dok tanya, bila nak balik perak (bersalin n berpantang) kat sana.. huhuhu.. tetiap mggu ad appointment kk/hosp ni mak, cano nk balik

Keje okay lg, sbb wfh je.. tp tula, selalu sgt dpt keje adhoc ni pon xbest jugak 😅",1
1409520865637662726,2021-06-28 14:35:36,BogordailyN,"Mulai Besok, Pemkot Bogor Terapkan Kebijakan WFH Total Bagi ASN https://t.co/6dd8VA2wvt",1
