tweetId,date,username,tweet,label
1361284153908490240,2021-02-15 12:00:08,jwonniverse,"@taesarahyun i selalu lost focus dalam kelas sejarah, fr tak kira offline online",0
1366088049533231104,2021-02-28 18:09:06,meenyooongiiee,@kiaapt2 Aaa kamu masih kelas 9? Wahh udh ujian blom? Semangat ujian nya ya🤗 Jgn smpe telat mkn!😠 Ayo skrg tdur jgn bgdg bsok ada daring kn? Good night and sweet dreams kiah !! 🥰💜,1
1366255838751522818,2021-03-01 05:15:50,twnbrght,"pacaran kok daring🤭
itu pacaran apa kelas online",1
1360948252447662085,2021-02-14 13:45:23,leonardouche,"Iya-Iya, dosen emang yang selalu bener. Mau sebobrok-bobroknya koordinasi antar dosen di kampus, tetep mahasiswa yang salah kan.. Bayaran 14jt per semester padahal kuliah online masih belom kenyang?",0
1361800363372810241,2021-02-16 22:11:22,BPJSKesehatanRI,@agnesyunitas Salam Sehat bapak/Ibu. Pelayanan saat ini secara online melalui PANDAWA. PANDAWA adalah pelayanan administrasi melalui Whatsapp ke Kantor Cabang BPJS Kesehatan dimasing-masing wilayah. Pelayanan PANDAWA Surabaya di nomor 087739901120. Terima kasih. -da,1
1361267255930052620,2021-02-15 10:52:59,BPJSTKinfo,"@febiola_lamongi @febiola_lamongi Sore sahabat. Perihal pencairan JHT, silakan registrasi antrean online Lapak Asik https://t.co/DsKDbEYdoD atau cabang bank kerja sama yaitu Bank Mandiri, BRI, BNI, BJB, atau BTN. -Ina",1
1360481518972407813,2021-02-13 06:50:45,CStupoker,"@Privasiwanita1 Situs Judi Online Terbaik
Itupoker - Situs Judi Kartu Online Terbesar dan Terpercaya di Indonesia

* BONUS CASHBACK 0.3%
* BONUS REFERRAL 20% SEUMUR HIDUP
* LAYANAN CUSTOMER SERVICE 24 JAM
* PRESENTASE KEMENANGAN PALING TINGGI

Pusat Bantuan ituPoker
https://t.co/895JlukUyu",0
1360206074540789772,2021-02-12 12:36:14,AiWithYuta,"ai! dari 5 era yuta di 2020, kalian lebih suka yuta kick it, yuta punch, yuta from home, yuta work it, atau yuta resonance? GABOLEH MARUK YAAA SATU AJA 😠😠",1
1363290827489898501,2021-02-21 00:53:56,stupidipiw,"@dagangkorea Ready :
mini kolbuk Work It ㅡ Future 60K
Polaroid : taeil, yuta, winwin, yangyang

Natrep X nct127 40K bersih ina avail 20 slot

Lenticular Fanmade (est.)
1 set (MAW/From Home/Work it/Misfit) 135 bersih ina
pair 2 member 39K
1 pcs 20K

ada go 
dom Jakarta barat",1
1362931534362120194,2021-02-20 01:06:14,Maryazizahhh,"Semakin lama WFH, aku semakin sadar ternyata aku lebih sering bergaul sama ibu2 komplek dibandingkan sama teman2 sebaya wkwk

Dari mulai belanja sayur, kue2 subuh, sampai kelas tahsin. Aku tak menyangka circle pertemananku telah berubah drastis haha😂",1
1362398195171487744,2021-02-18 13:46:56,tolakbigotnkri,"Sedangkan untuk karyawan Freeport yang gak dirumahkan, tetapi mogok, dianggap perusahaan melakukan tindakan mangkir alias gak mau bekerja lagi.",0
1365097553356759043,2021-02-26 00:33:13,dkdioo,"@dodioc enak banget wfh, aku hari ini harus dikantor 😭😭",0
1364926265128411138,2021-02-25 13:12:35,zelika__,"Selama ini wfh terus, dpt tmn baru jg kenalan online, mau sampai kapan:(",0
1361209847677526018,2021-02-15 07:04:52,niayuhuuu,"@rainaldylomri @50k @Mend0an_ Bismillah kalo dpt GA 50k saya mau beliin makanan gopud buat keluarga saya,sisanya saya belikan alat tulis saya dan kuota utk kuliah daring ini. Bila ada sisa lg saya tabung. Terimakasih banyak🤲",1
1365621610690973700,2021-02-27 11:15:38,nugetmekdii,"@masbro_sofyan mau coba pake yg unlimited 1 bulan 140 rb itu, tapi masih ragu. takut lemot buat kuliah online :(",0
1360516773083181060,2021-02-13 09:10:50,fordoyoungkim,"Gaenaknya serba online tuh lg cross check jadwal kuliah, kalender akademik, jualan, di sindir” ortu main hp terus hm:) sumpah mau balik kos aja biar hati damai tp ortu gmau bayarin uang kos:(",0
1362250187893186560,2021-02-18 03:58:48,pahamify,"Nggak cuma materinya aja yang bisa dipencet! 

Join Kelas Online atau nonton video di Youtube Pahamify juga bisa tinggal klik di Walkthrough of UTBK! Gahoel bukan? 😎

Download Walkthrough of UTBK di https://t.co/ukCqNL21ER 🤩 https://t.co/iJL7Sr0hOW",1
1360539966154149888,2021-02-13 10:43:00,motorplusweekly,"Kalau brother pecinta otomotif pasti enggak asing dengan alat bernama speed gun

Begini cara kerja dan macam-macam tipe speed gun, si alat pengukur kecepatan
https://t.co/k86zFVS8uo",1
1366259568385298432,2021-03-01 05:30:39,ilhamryant,Kursi kerja selama WFH (brb peregangan takut skoliosis) https://t.co/GcuDFU9AWT,1
1361211771382468609,2021-02-15 07:12:31,kominfotikjp,"Hallo Sohib Jakpus 👋🏻, musim hujan gini bikin kita ngantuk terus ya.

Kalau Sohib Jakpus ngantuk pastinya menghambat pekerjaan kalian dong, terutama yang
sedang Work From Home. https://t.co/BXAhn3Fc47",0
1365542513872756737,2021-02-27 06:01:20,g9_44,udh berharap bgt kuliah offline tp keknya ttp online:),0
1366225964020064258,2021-03-01 03:17:07,Ayulstrrr18,"selamat beraktifitas kuliah online again. semangat senin🤩 
#maret",1
1365948305784496129,2021-02-28 08:53:48,rizalindis,Berdasarkan jadwal besok yg ngantor saya doang. Yg laen wfh. Hehehe,0
1364902465749983235,2021-02-25 11:38:01,futureh48195994,Besok wfh tapi harus ke kantor tuh gimana ya😑,0
1361847304953585665,2021-02-17 01:17:54,officialnova_id,"Demi membantu para difabel yang kesulitan menggunakan transportasi umum, Triyono dirikan Difa Bike City Tour &amp; Transport.

https://t.co/yBQy1xXca5",1
1360815110671851521,2021-02-14 04:56:19,CStupoker,"@koleksibarbar Situs Judi Online Terbaik
Itupoker - Situs Judi Kartu Online Terbesar dan Terpercaya di Indonesia

* BONUS CASHBACK 0.3%
* BONUS REFERRAL 20% SEUMUR HIDUP
* LAYANAN CUSTOMER SERVICE 24 JAM
* PRESENTASE KEMENANGAN PALING TINGGI

Pusat Bantuan ituPoker
https://t.co/895JlukUyu",0
1365122954871275522,2021-02-26 02:14:09,bayuwardanii,"3 bulan wfh dengan meja dan kursi ngasal, rasanya bahu pinggang dan pundak ku seperti mengajukan surat resign.",0
1365245849966579713,2021-02-26 10:22:30,collegemfs,"[cm] halo guys, aku mau minta tolong untuk isi kuesioner mengenai Pengaruh Penggunaan Media Pembelajaran Daring Terhadap Minat dan Hasil Belajar Mahasiswa. Mohon bantuannya yaa, reply aja nanti aku dm satu2, makasih🤍",1
1361288506480320516,2021-02-15 12:17:26,_yosi_h,"@yusuf_dumdum Kalo work bisa from home, demo juga harusnya bisa from home aja.",1
1366240957910315009,2021-03-01 04:16:42,drizzyg0tamoney,fak sange disaat kuliah online tuh ceritanya gmn,0
1361332604092387330,2021-02-15 15:12:39,PaopeiSuper,"@subtanyarl orang nikah mah cuma sekali nder... klo kuliah kan masih ada batas maksimal ""bolos"" nya... klo pun masih mau hadir kuliah, selama masih online kan bisa aja nyambi kuliah sama bridesmaid nya...",0
1364360377992024066,2021-02-23 23:43:57,DewiAbsensi,Absensi sekolah online lengkap dengan berbagai fitur yang memudahkan aktivitas pembelajaran jarak jauhmu👥. Guru dan siswa dapat mengakses https://t.co/Ijv7P6WdyM di komputer dan App https://t.co/Ijv7P6WdyM di ponsel👀. https://t.co/UMnkCALtQn,1
1366067229343707137,2021-02-28 16:46:22,AnnisaPirana1,Ko masih banyak yg gatau WFH sih? 🙁,0
