tweetId,date,username,tweet,label,cleantweet
1361284153908490240,2021-02-15 12:00:08,jwonniverse,"@taesarahyun i selalu lost focus dalam kelas sejarah, fr tak kira offline online",0,i selalu lost focus kelas sejarah fr tak kira offline online
1366088049533231104,2021-02-28 18:09:06,meenyooongiiee,@kiaapt2 Aaa kamu masih kelas 9? Wahh udh ujian blom? Semangat ujian nya ya🤗 Jgn smpe telat mkn!😠 Ayo skrg tdur jgn bgdg bsok ada daring kn? Good night and sweet dreams kiah !! 🥰💜,1,aaa kamu kelas wahh udh uji blom semangat uji nya peluk jangan smpe telat mkn marah ayo skrg tdur jangan bgdg bsok daring kn good night and sweet dreams kiah cinta hati
1366255838751522818,2021-03-01 05:15:50,twnbrght,"pacaran kok daring🤭
itu pacaran apa kelas online",1,pacar kok daring ups pacar apa kelas online
1360948252447662085,2021-02-14 13:45:23,leonardouche,"Iya-Iya, dosen emang yang selalu bener. Mau sebobrok-bobroknya koordinasi antar dosen di kampus, tetep mahasiswa yang salah kan.. Bayaran 14jt per semester padahal kuliah online masih belom kenyang?",0,iya dosen emang selalu bener mau bobrok koordinasi antar dosen kampus tetep mahasiswa salah kan bayar jt per semester padahal kuliah online bom kenyang
1361800363372810241,2021-02-16 22:11:22,BPJSKesehatanRI,@agnesyunitas Salam Sehat bapak/Ibu. Pelayanan saat ini secara online melalui PANDAWA. PANDAWA adalah pelayanan administrasi melalui Whatsapp ke Kantor Cabang BPJS Kesehatan dimasing-masing wilayah. Pelayanan PANDAWA Surabaya di nomor 087739901120. Terima kasih. -da,1,salam sehat bapak ibu layan ini online lalu pandawa pandawa layan administrasi lalu whatsapp kantor cabang bpjs sehat dimasing-masing wilayah layan pandawa surabaya nomor terima kasih -da
1361267255930052620,2021-02-15 10:52:59,BPJSTKinfo,"@febiola_lamongi @febiola_lamongi Sore sahabat. Perihal pencairan JHT, silakan registrasi antrean online Lapak Asik https://t.co/DsKDbEYdoD atau cabang bank kerja sama yaitu Bank Mandiri, BRI, BNI, BJB, atau BTN. -Ina",1,sore sahabat perihal cair jht sila registrasi antre online lapak asik cabang bank kerja sama bank mandiri bri bni bjb btn -ina
1360481518972407813,2021-02-13 06:50:45,CStupoker,"@Privasiwanita1 Situs Judi Online Terbaik
Itupoker - Situs Judi Kartu Online Terbesar dan Terpercaya di Indonesia

* BONUS CASHBACK 0.3%
* BONUS REFERRAL 20% SEUMUR HIDUP
* LAYANAN CUSTOMER SERVICE 24 JAM
* PRESENTASE KEMENANGAN PALING TINGGI

Pusat Bantuan ituPoker
https://t.co/895JlukUyu",0,situs judi online baik itupoker - situs judi kartu online besar percaya indonesia bonus cashback bonus referral umur hidup layan customer service jam presentase menang paling tinggi pusat bantu itupoker
1360206074540789772,2021-02-12 12:36:14,AiWithYuta,"ai! dari 5 era yuta di 2020, kalian lebih suka yuta kick it, yuta punch, yuta from home, yuta work it, atau yuta resonance? GABOLEH MARUK YAAA SATU AJA 😠😠",1,ai era yuta kalian lebih suka yuta kick it yuta punch yuta from home yuta work it yuta resonance gaboleh maruk yaaa satu aja marah
1363290827489898501,2021-02-21 00:53:56,stupidipiw,"@dagangkorea Ready :
mini kolbuk Work It ㅡ Future 60K
Polaroid : taeil, yuta, winwin, yangyang

Natrep X nct127 40K bersih ina avail 20 slot

Lenticular Fanmade (est.)
1 set (MAW/From Home/Work it/Misfit) 135 bersih ina
pair 2 member 39K
1 pcs 20K

ada go 
dom Jakarta barat",1,ready mini kolbuk work it future k polaroid taeil yuta winwin yangyang natrep x nct k bersih ina avail slot lenticular fanmade est set maw from home work it misfit bersih ina pair member k pcs k go dom jakarta barat
1362931534362120194,2021-02-20 01:06:14,Maryazizahhh,"Semakin lama WFH, aku semakin sadar ternyata aku lebih sering bergaul sama ibu2 komplek dibandingkan sama teman2 sebaya wkwk

Dari mulai belanja sayur, kue2 subuh, sampai kelas tahsin. Aku tak menyangka circle pertemananku telah berubah drastis haha😂",1,makin lama wfh aku makin sadar nyata aku lebih sering gaul sama ibu komplek banding sama teman baya wkwk mulai belanja sayur kue subuh kelas tahsin aku tak sangka circle teman ubah drastis haha ketawa
1362398195171487744,2021-02-18 13:46:56,tolakbigotnkri,"Sedangkan untuk karyawan Freeport yang gak dirumahkan, tetapi mogok, dianggap perusahaan melakukan tindakan mangkir alias gak mau bekerja lagi.",0,untuk karyawan freeport gak rumah mogok anggap usaha laku tindak mangkir alias gak mau kerja lagi
1365097553356759043,2021-02-26 00:33:13,dkdioo,"@dodioc enak banget wfh, aku hari ini harus dikantor 😭😭",0,enak banget wfh aku hari harus kantor nang
1364926265128411138,2021-02-25 13:12:35,zelika__,"Selama ini wfh terus, dpt tmn baru jg kenalan online, mau sampai kapan:(",0,lama wfh terus tmn baru kenal online mau kapan
1361209847677526018,2021-02-15 07:04:52,niayuhuuu,"@rainaldylomri @50k @Mend0an_ Bismillah kalo dpt GA 50k saya mau beliin makanan gopud buat keluarga saya,sisanya saya belikan alat tulis saya dan kuota utk kuliah daring ini. Bila ada sisa lg saya tabung. Terimakasih banyak🤲",1,bismillah kalo nggak k mau beliin makan gopud buat keluarga saya sisa belikan alat tulis dan kuota kuliah daring ini bila sisa saya tabung terimakasih banyak doa
1365621610690973700,2021-02-27 11:15:38,nugetmekdii,"@masbro_sofyan mau coba pake yg unlimited 1 bulan 140 rb itu, tapi masih ragu. takut lemot buat kuliah online :(",0,mau coba pake unlimited bulan rb itu masih ragu takut lemah otak buat kuliah online
1360516773083181060,2021-02-13 09:10:50,fordoyoungkim,"Gaenaknya serba online tuh lg cross check jadwal kuliah, kalender akademik, jualan, di sindir” ortu main hp terus hm:) sumpah mau balik kos aja biar hati damai tp ortu gmau bayarin uang kos:(",0,gaenaknya serba online tuh cross check jadwal kuliah kalender akademik jual sindir orang tua main hp terus hm sumpah mau balik kos aja biar hati damai orang tua gmau bayarin uang kos
1362250187893186560,2021-02-18 03:58:48,pahamify,"Nggak cuma materinya aja yang bisa dipencet! 

Join Kelas Online atau nonton video di Youtube Pahamify juga bisa tinggal klik di Walkthrough of UTBK! Gahoel bukan? 😎

Download Walkthrough of UTBK di https://t.co/ukCqNL21ER 🤩 https://t.co/iJL7Sr0hOW",1,cuma materi aja bisa pencet join kelas online nonton video youtube pahamify bisa tinggal klik walkthrough of utbk gahoel bukan kacamata hitam download walkthrough of utbk bintang
1360539966154149888,2021-02-13 10:43:00,motorplusweekly,"Kalau brother pecinta otomotif pasti enggak asing dengan alat bernama speed gun

Begini cara kerja dan macam-macam tipe speed gun, si alat pengukur kecepatan
https://t.co/k86zFVS8uo",1,kalau brother cinta otomotif enggak asing alat nama speed gun begini cara kerja macam tipe speed gun si alat ukur cepat
